Timestamp,Name,Age,Interest,Features_Tried,Satisfaction,Most_Valuable,Most_Trustworthy,Regular_Use,Improvements,Comments
2026/01/21 4:07:28 AM GMT+5:30,Suma,36+,Somewhat interested,Face Reading;Birth Chart;Daily Horoscope,7,Birth Chart,Face Reading,Maybe occasionally,"1. Visual effects of the app, 2. May be including a audio option for visually impaired person",It's a good app that i came across as a college project
2026/01/21 6:16:55 AM GMT+5:30,NAGRAJ RAI,36+,Not really interested,Face Reading,10,Face Reading,Face Reading,"Yes, definitely",Include other aspects of astrology,
2026/01/21 7:48:33 AM GMT+5:30,Arvind Kumar Rai,36+,Very interested,Face Reading,1,Face Reading,Face Reading,"Yes, definitely",I want in Hindi,Bahut acha app hai but Hindi chahiye
2026/01/21 8:21:04 AM GMT+5:30,Vivek,36+,Very interested,Face Reading,9,Face Reading,Face Reading,"Yes, definitely",Na,Na
2026/02/03 9:24:37 PM GMT+5:30,Pratyush Shrivastava,31-35,Very interested,Birth Chart;AI Chatbot,10,Birth Chart,Birth Chart,"Yes, definitely",More detailed info required,
2026/02/03 9:32:10 PM GMT+5:30,Saurabh,31-35,Very interested,Birth Chart;Daily Horoscope,10,Birth Chart,Birth Chart,Maybe occasionally,In rating question please mention 1 is better or 10 is better,
2026/02/12 9:33:33 PM GMT+5:30,Shobha,31-35,Somewhat interested,Birth Chart,10,Face Reading,Face Reading,"Yes, definitely",It's good app,
2026/02/13 12:58:12 AM GMT+5:30,C V N SAI ANIRUDH,18-25,Very interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,8,AI Chatbot,AI Chatbot,"Yes, definitely",All features are good,
2026/02/13 1:15:35 AM GMT+5:30,AKANKSHA,31-35,Somewhat interested,Daily Horoscope,8,Daily Horoscope,Daily Horoscope,"Yes, definitely",can have feature of live chat with astrologer,
2026/02/13 11:00:18 AM GMT+5:30,Devesh Bais,36+,Not really interested,Face Reading;Daily Horoscope,6,Daily Horoscope,Daily Horoscope,Maybe occasionally,face reading feature should work,
2026/02/14 12:00:00 PM GMT+5:30,Tarun Kapoor,26-30,Very interested,Face Reading;Birth Chart,10,Face Reading,Birth Chart,"Yes, definitely",Include vastu tips as well,Sharing with my friends and family
2026/02/14 08:00:00 PM GMT+5:30,Vijaylakshmi Rao,36+,Not really interested,Face Reading,6,Face Reading,Birth Chart,Maybe occasionally,"App is slow sometimes, improve speed",
2026/02/15 09:00:00 AM GMT+5:30,Divya Rao,18-25,Very interested,Face Reading;Birth Chart;Daily Horoscope,10,Birth Chart,Daily Horoscope,"Yes, definitely",Add remedies and gemstone suggestions,Face reading gave interesting personality insights
2026/02/15 09:00:00 PM GMT+5:30,Archana Pillai,31-35,Very interested,Daily Horoscope;AI Chatbot,7,Daily Horoscope,AI Chatbot,No,Include ashtakavarga,
2026/02/16 03:00:00 AM GMT+5:30,Ananya Sharma,18-25,Very interested,Daily Horoscope,7,Daily Horoscope,AI Chatbot,Maybe occasionally,Better UI design needed,"Quite accurate predictions, I was surprised"
2026/02/16 12:00:00 PM GMT+5:30,Shweta Das,26-30,Very interested,Face Reading,10,Face Reading,Birth Chart,"Yes, definitely",Include vastu tips as well,Sharing with my friends and family
2026/02/17 04:00:00 AM GMT+5:30,Sunita Agarwal,31-35,Very interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,9,Face Reading,Face Reading,Maybe occasionally,Include financial astrology,"Good initiative, keep it up"
2026/02/17 01:00:00 PM GMT+5:30,Kavya Reddy,26-30,Very interested,Birth Chart,9,Birth Chart,Face Reading,No,Add more traditional Vedic content,
2026/02/17 07:00:00 PM GMT+5:30,Pallavi Singh,26-30,Not really interested,Birth Chart,5,Birth Chart,Face Reading,"Yes, definitely",Add meditation guidance,Impressed by the AI astrologer chat
2026/02/18 10:00:00 AM GMT+5:30,Vinod Sah,36+,Very interested,Birth Chart;Daily Horoscope,7,Birth Chart,Face Reading,No,Improve the chatbot responses,"Nice concept, will recommend to family"
2026/02/18 03:00:00 PM GMT+5:30,Laxmi Devi,36+,Very interested,Face Reading;Birth Chart,8,Face Reading,Birth Chart,Maybe occasionally,Improve response time of chatbot,
2026/02/19 04:00:00 AM GMT+5:30,Rashmi Tewari,31-35,Not really interested,AI Chatbot,5,AI Chatbot,Face Reading,No,Add more planets in birth chart,
2026/02/19 01:00:00 PM GMT+5:30,Karan Joshi,18-25,Very interested,Face Reading,10,Face Reading,Birth Chart,"Yes, definitely",Would love Tamil language option,
2026/02/19 09:00:00 PM GMT+5:30,Abhishek Thakur,26-30,Somewhat interested,Birth Chart,6,Birth Chart,Birth Chart,Maybe occasionally,Add push notifications for daily horoscope,
2026/02/20 07:00:00 AM GMT+5:30,Sunita Chaudhary,36+,Not really interested,Face Reading;Birth Chart;Daily Horoscope,5,Face Reading,Face Reading,No,Add Hindi language support,"Nice concept, will recommend to family"
2026/02/20 06:00:00 PM GMT+5:30,Pankaj Sharma,31-35,Very interested,Face Reading;Birth Chart,8,Birth Chart,AI Chatbot,"Yes, definitely",Add Hindi language support,
2026/02/21 07:00:00 AM GMT+5:30,Naresh Rao,31-35,Very interested,Face Reading;Daily Horoscope,8,Face Reading,Birth Chart,Maybe occasionally,Include marriage compatibility checker,Helpful during stressful times
2026/02/21 03:00:00 PM GMT+5:30,Geeta Menon,31-35,Very interested,Birth Chart,7,Birth Chart,Face Reading,Maybe occasionally,Would love Tamil language option,The app is intuitive and easy to use
2026/02/21 09:00:00 PM GMT+5:30,Ramprakash Yadav,36+,Very interested,Face Reading;Birth Chart,7,Face Reading,Face Reading,Maybe occasionally,Include muhurat calculator,"Nice concept, will recommend to family"
2026/02/22 02:00:00 PM GMT+5:30,Balram Singh,36+,Somewhat interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,7,Face Reading,Birth Chart,"Yes, definitely",Add notifications for important planetary events,
2026/02/22 08:00:00 PM GMT+5:30,Ritika Jain,26-30,Very interested,Birth Chart,10,Birth Chart,Birth Chart,"Yes, definitely",Add Kundali matching feature,Face reading gave interesting personality insights
2026/02/23 03:00:00 AM GMT+5:30,Anjali Srivastava,26-30,Somewhat interested,Birth Chart;AI Chatbot,6,Birth Chart,Face Reading,Maybe occasionally,Improve response time of chatbot,The birth chart feature is excellent
2026/02/23 04:00:00 PM GMT+5:30,Prakash Yadav,31-35,Very interested,Birth Chart,8,Birth Chart,AI Chatbot,Maybe occasionally,Better UI design needed,
2026/02/23 10:00:00 PM GMT+5:30,Mohit Bansal,26-30,Very interested,Face Reading;Birth Chart,8,Birth Chart,Birth Chart,No,Add more traditional Vedic content,
2026/02/24 04:00:00 PM GMT+5:30,Reena Verma,36+,Very interested,Face Reading;Daily Horoscope,8,Face Reading,AI Chatbot,"Yes, definitely",Add compatibility check feature,The birth chart feature is excellent
2026/02/25 02:00:00 AM GMT+5:30,Dinesh Tripathi,36+,Somewhat interested,Birth Chart;Daily Horoscope,6,Birth Chart,Birth Chart,"Yes, definitely",Notifications for auspicious times would be helpful,Very useful for daily guidance
2026/02/25 04:00:00 AM GMT+5:30,Arun Joshi,36+,Very interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,8,Face Reading,Face Reading,"Yes, definitely",Add push notifications for daily horoscope,"Quite accurate predictions, I was surprised"
2026/02/25 08:00:00 PM GMT+5:30,Bhavna Sharma,36+,Very interested,Birth Chart;Daily Horoscope,10,Birth Chart,Face Reading,Maybe occasionally,Add meditation guidance,Helpful during stressful times
2026/02/26 02:00:00 AM GMT+5:30,Meena Tripathi,31-35,Not really interested,Face Reading;Birth Chart;AI Chatbot;Daily Horoscope,4,Face Reading,Birth Chart,No,Add more accurate planetary positions,
2026/02/26 01:00:00 PM GMT+5:30,Dilip Shukla,31-35,Somewhat interested,Daily Horoscope,5,Daily Horoscope,Daily Horoscope,No,Face reading should be more accurate,
2026/02/26 10:00:00 PM GMT+5:30,Manish Dubey,31-35,Very interested,Face Reading,8,Face Reading,Daily Horoscope,Maybe occasionally,More personalized predictions,
2026/02/27 09:00:00 AM GMT+5:30,Sanjay Srivastava,36+,Very interested,Face Reading;Birth Chart;Daily Horoscope,10,Face Reading,Daily Horoscope,"Yes, definitely",Improve the chatbot responses,
